Title,ID,Year,Rating,Review
"The Emperor's New Groove",tt0120917,2000,7,"Truly fun with an excellent moral shift, The Emperor’s New Groove is a good movie lowered only by its poor animation and inability to compete with better films."
"The Lion King 2: Simba's Pride",tt0120131,1998,6,***
"Beauty and the Beast: The Enchanted Christmas",tt0118692,1997,6,***
"Aladdin and the King of Thieves",tt0115491,1996,6,***
Dinosaur,tt0130623,2000,6,"It’s pretty but cliche."
"O Brother, Where Art Thou?",tt0190590,2000,9,"The Coen Brothers demonstrate their wide-ranging abilities in this cultural touchstone."
"How the Grinch Stole Christmas",tt0170016,2000,7,***
"The Magic Sword: Quest for Camelot",tt0120800,1998,4,***
Spartacus,tt0054331,1960,9,***
Cinderfella,tt0053716,1960,7,***
"101 Dalmatians",tt0055254,1961,7,"While the villain is cinematically interesting, the movie is anti-climatic."
"The Birds",tt0056869,1963,7,***
"The Sword in the Stone",tt0057546,1963,5,"Nothing ever happens. Maybe it'd work as a post-modern film?"
"The Sound of Music",tt0059742,1965,9,"The Sound of Music is the perfect balance between war and family drama and uplifting musical"
"Fahrenheit 451",tt0060390,1966,7,***
"Planet of the Apes",tt0063442,1968,8,***
Jaws,tt0073195,1975,9,***
"Monty Python and the Holy Grail",tt0071853,1975,9,"Witty yet silly, The Holy Grail is a timelessly quotable comedy."
"The Rescuers",tt0076618,1977,5,"This is the worst of all the Disney Classics."
"Escape to Witch Mountain",tt0072951,1975,6,***
"Pete's Dragon",tt0076538,1977,6,***
"The Brave Little Toaster",tt0092695,1987,7,***
"Homeward Bound: The Incredible Journey",tt0107131,1993,6,***
Shrek,tt0126029,2001,8,"It set many precedents and is probably the funniest animated films out there"
Halloweentown,tt0173886,1998,6,***
"The Lord of the Rings: The Fellowship of the Ring",tt0120737,2001,9,"J. R. R. Tolkien's original Lord of the Rings Trilogy was very different from Jackson's adaptations. They were fairytales about quest-timid Hobbits exploring the world, having amazing yet terrifying adventures on their way to Mt. Doom. Jackson's Fellowship of the Ring is much darker than its source. There is burden and turmoil of the soul, and constant violence. This definitely speaks to our times and the environment in which this movie was produced, but more so, it is (while different) a masterful portrayal of the original series. And I'll add: it could be more of what Tolkien desired had he not been writing in the lingering Romantic era of literature. And don't let the length perturb you; Jackson is retelling a beautiful story, not butchering the story as many directors have done before. His intro to the LOTR series has reintroduced the epic and fantasy to modern cinema with unparalleled power and grace."
"Atlantis: The Lost Empire",tt0230011,2001,8,"Not only a grand and epic fantasy, Atlantis boasts likable and dynamic characters."
"Jurassic Park III",tt0163025,2001,6,***
"Osmosis Jones",tt0181739,2001,6,"The premise is incredibly creative but the execution lacking"
"Monsters, Inc.",tt0198781,2001,8,***
"The Others",tt0230600,2001,8,***
"Planet of the Apes",tt0133152,2001,5,***
"The Mummy Returns",tt0209163,2001,6,"Though a lacking sequel to a middling movie, The Mummy Returns most stands out for helping introduce the world to the acting talents of the Rock"
Airplane!,tt0080339,1980,9,"Airplane is exceptionally witty and well-written."
"Raiders of the Lost Ark",tt0082971,1981,10,"The Indiana Jones series is, admittedly, not a deep one. It doesn't deal with Catholic guilt or wrestle with the problem of pain. However, the Spielberg and Lucas collaboration demonstrates the finest of movie-making magic. From start to finish, each film is a heart-pounding, laugh-inducing, technically-triumphant romp; they are fun, humorous, and at times even sweet. And as a story told perfectly—with characters that matter and clearly understood motivations—Raiders of the Lost Ark represents the best of the series and a movie we will not soon forget as we remember back to Dr. Jones's fear of snakes,  unconventional tactics in a knife-fight, and all of his exciting adventures."
"The Fox and the Hound",tt0082406,1981,7,"It offers a meaningful story through a great ending, but as a Disney musical, it falls flat."
"Airplane II: The Sequel",tt0083530,1982,6,***
"The Secret of NIMH",tt0084649,1982,8,***
"E.T. The Extra-Terrestrial",tt0083866,1982,8,"Though I didn't grow up with the warm feelings surrounding this movie that the generation before me did, I still recognize ET as a delightful and inspiring entry from the great Spielberg"
"Mickey's Christmas Carol",tt0085936,1983,8,***
"The Terminator",tt0088247,1984,8,"In spite of the Tomatometer, I'll have to say T2 is the better film. That aside, this movie is strong, intense, scary, and exciting. Great movie."
"Indiana Jones and the Temple of Doom",tt0087469,1984,8,"Again, a super funny movie that quickly gets you engaged and keeps you interested. A great sequel for a classic series."
Ghostbusters,tt0087332,1984,8,"Typical of the 80s style—humorous but not clearly a comedy, inventive and narratively strong—Ghostbusters stands out as a clear classic"
"Back to the Future",tt0088763,1985,10,"There is so much to be learned from this near-perfect movie—how to build a franchise and set-p sequels, how to write a propulsive narrative, how to develop characters in a meaningful way, how to use a score effectively, how to create natural set-ups and pay-offs. Back to the Future is so tightly written and executed, it's hard to find anything wrong with it."
"The Great Mouse Detective",tt0091149,1986,6,"The premise is fun, but the movie doesn’t do enough to build upon that premise."
"Ferris Bueller's Day Off",tt0091042,1986,8,***
"Top Gun",tt0092099,1986,6,***
"The Princess Bride",tt0093779,1987,8,***
"Planes, Trains & Automobiles",tt0093748,1987,8,***
"Oliver & Company",tt0095776,1988,7,"This Disney movie acts as our point of inflection for quality. It boasts the musical talent of Billy Joel with a few flashes of quality animation, yet it offers no closure and the graphics are overwhelmingly bad."
"Who Framed Roger Rabbit",tt0096438,1988,8,"This a very fun movie to watch and even works as an interesting noir flick."
"Indiana Jones and the Last Crusade",tt0097576,1989,9,***
"Field of Dreams",tt0097351,1989,7,***
"Back to the Future Part II",tt0096874,1989,8,***
"Ghostbusters II",tt0097428,1989,6,***
"Star Wars: Episode II - Attack of the Clones",tt0121765,2002,6,"This is the lowest point of the franchise, largely due to the flat acting and writing."
"The Ring",tt0298130,2002,8,"The Ring stands as one of the best US horror films of the decade"
Spider-Man,tt0145487,2002,8,***
"The Lord of the Rings: The Two Towers",tt0167261,2002,9,"As was hinted in the previous film, Jackson has taken his own direction with Tolkien's fantasy. He has made the fate of the character Aragorn the primary focus of the movie rather than Frodo's quest. And there is certainly no whimsy in this film as was still faintly present in the last. The Two Towers has lost some of the darker elements of the last film (on the other hand, a bit more psychological depth has been introduced via the character Gollum), but has further embraced its epic feel. Also, The Two Towers contained quite possibly the greatest mass battle scene ever filmed."
"Lilo & Stitch",tt0275847,2002,8,"Lilo & Stitch crafts a nuanced family dynamic alongside above-average animation."
"Die Another Day",tt0246460,2002,6,***
"Reign of Fire",tt0253556,2002,6,***
RocketMan,tt0120029,1997,5,***
"Ice Age",tt0268380,2002,8,"This is a fun, enjoyable quest film."
"John Q",tt0251160,2002,5,"This movie, while heavy-handed, enjoys the benefit of Washington's talent"
Signs,tt0286106,2002,9,***
"Catch Me If You Can",tt0264464,2002,9,***
"Mr. Deeds",tt0280590,2002,6,***
"My Big Fat Greek Wedding",tt0259446,2002,6,***
"Sweet Home Alabama",tt0256415,2002,3,***
"Spirit: Stallion of the Cimarron",tt0166813,2002,6,***
"Back to the Future Part III",tt0099088,1990,7,***
"Terminator 2",tt0103064,1991,10,"Boasting Schwarzenegger's best performance to date and Robert Patrick as the chilling T-1000, Terminator 2: Judgment Day is one of the best sequels ever made—or movie, for that matter."
"Robin Hood: Prince of Thieves",tt0102798,1991,6,"It's got some camp to it, but as a whole, the tone was a little confusing. Still, I was very entertained, especially by Rickman."
Hook,tt0102057,1991,6,"For a children's audience, this is a fantastic film—whimsical and sweet. For adults, on the other hand, it is good, but it doesn't quite capture the magic that other films have."
"The Rocketeer",tt0102803,1991,7,***
"The Mighty Ducks",tt0104868,1992,6,"It's a children's movie, made for kids about kids—classic to the disney formula."
"The Sandlot",tt0108037,1993,8,"Calibrated for maximum nostalgia, it is hard not to enjoy The Sandlot"
"Groundhog Day",tt0107048,1993,8,"Groundhog Day is more than a funny outing or a neat premise but a well-executed narrative on character change"
"Jurassic Park",tt0107290,1993,10,"Though most of the screen time is filled with cold-blooded dinosaurs, this movie is really a heartwarming tale of old birds. Moreover, the film has wit, thrills, and suspense—few movies can compete with this sci-fi, action hit."
"Batman: Mask Of The Phantasm",tt0106364,1993,9,***
"Demolition Man",tt0106697,1993,6,"This movie excels at its creative world-building"
"We're Back! A Dinosaur's Story",tt0108526,1993,5,***
"Ace Ventura: Pet Detective",tt0109040,1994,6,***
Clifford,tt0109447,1994,6,***
"Dumb and Dumber",tt0109686,1994,8,***
"Forrest Gump",tt0109830,1994,9,"Certainly, it has some oversimplifications, but it is no doubt a heartwarming and hilarious story. And though it may be ""simple,"" it has profound lessons to teach in the most endearing of ways."
"D2: The Mighty Ducks",tt0109520,1994,5,"Fun for children, though generally the same as the first."
X-Men,tt0120903,2000,7,***
Braveheart,tt0112573,1995,8,***
"Ace Ventura: When Nature Calls",tt0112281,1995,6,"A fairly funny movie with Jim Carey almost parodying himself"
Pocahontas,tt0114148,1995,8,"It’s clear that the creative strength behind this movie was blown on its powerful soundtrack and artistic flair and not much else."
Jumanji,tt0113497,1995,8,***
"The Little Mermaid 2: Return to the Sea",tt0240684,2000,5,***
Balto,tt0112453,1995,6,***
"Daddy Day Care",tt0317303,2003,7,***
"Bruce Almighty",tt0315327,2003,7,***
"School of Rock",tt0332379,2003,7,"Providing the archetypal movie for Jack Black's work, School of Rock is funny, quotable, and full of heart"
"X-Men 2",tt0290334,2003,8,"X2: X-Men United, despite its originally silly title, stands as one of the best superhero films to-date. It provides the style and action necessary for any hero flick, but also delivers one of the more intimate stories through its inner circle of characters."
"Pirates of the Caribbean: The Curse of the Black Pearl",tt0325980,2003,8,***
"The Lord of the Rings: The Return of the King",tt0167260,2003,8,"The final film is epic and grand, but not terribly profound; it is a great conclusion to a great series. There is closure and judgment distributed. As a wonderful cap to the trilogy, it is thus an amazing movie. But it is probably the weakest of the three films, lacking great character development or as stunning (though still stunning) action as the previous movie."
"The Hunchback of Notre Dame",tt0116583,1996,8,"I have mixed feelings on this movie. It is often very dark and, for that reason, very powerful. It also has many dazzling visuals, but the animation could have been so much more; it often seems hollow or lacking up-close."
"D3: The Mighty Ducks",tt0116000,1996,4,***
"Independence Day",tt0116629,1996,7,***
"Vegas Vacation",tt0120434,1997,6,***
"The Spanish Prisoner",tt0120176,1997,8,"This movie is a family favorite and an intriguing mystery"
Hercules,tt0119282,1997,7,"While the movie is entertaining and genuinely funny, the chosen style of animation is distractingly distasteful and the plotting is far too fast."
"Liar Liar",tt0119528,1997,7,***
Anastasia,tt0118617,1997,8,***
"The Matrix",tt0133093,1999,9,"This is, yet again, another revolutionary film whose industry altering effects can be felt in any casual viewing. "
"Fantasia 2000",tt0120910,1999,7,"Enchanting like its forerunner, this movie is solid despite its poor use of CGI."
"Galaxy Quest",tt0177789,1999,8,"Very funny and full of heart"
"Finding Nemo",tt0266543,2003,9,***
"Terminator 3: Rise of the Machines",tt0181852,2003,6,***
"Kangaroo Jack",tt0257568,2003,3,"It has something of interest for children, but not much else"
Elf,tt0319343,2003,8,***
"The League of Extraordinary Gentlemen",tt0311429,2003,6,***
Hulk,tt0286716,2003,7,"Though tonally flawed to its core, the Hulk is a fascinating movie and in some ways the most intellectual installment in the superhero genre"
"The Elephant Man",tt0080678,1980,8,***
Gladiator,tt0172495,2000,8,"At best, this movie is morally confused. Still, some parts are moving, and others are certainly thrilling."
"Dude, Where's My Car?",tt0242423,2000,6,***
"Crouching Tiger, Hidden Dragon",tt0190332,2000,9,"A beautiful tragedy that one can only hope will influence American filmmaking"
"A Knight's Tale",tt0183790,2001,8,"A stylized film built on the likability and charisma of its leads"
Zoolander,tt0196229,2001,8,"Witty and silly at the same time, Zoolander is a comedic classic of the early 2000s."
"A Walk to Remember",tt0281358,2002,7,***
"The Count of Monte Cristo",tt0245844,2002,8,"The movie is solid but coasts mainly on the merit of the source material"
"Minority Report",tt0181689,2002,9,***
"The Bourne Identity",tt0258463,2002,9,Revolutionary
"Runaway Jury",tt0313542,2003,7,***
Ray,tt0350258,2004,7,***
"The Lion King 1 1/2",tt0318403,2004,6,***
"The Aviator",tt0338751,2004,8,***
Crash,tt0375679,2004,7,"Crash is famous for being a poor best picture choice. That and some thematic issues withstanding, the movie is fairly good"
"Shrek 2",tt0298148,2004,7,***
"50 First Dates",tt0343660,2004,3,***
"The Polar Express",tt0338348,2004,7,"It is the most regal and mystical of all the Christmas classics."
"Spider-Man 2",tt0316654,2004,9,"Though not as funny as its MCU descendants, SM2 demonstrates the best of artistic blockbusters. Raimi, a master of horror and genre-conflation, uses all his technical skill to provide a thrilling movie, but he also brings to life real characters, dealing with real, human situations."
"King Arthur",tt0349683,2004,6,***
"The Incredibles",tt0317705,2004,10,"Though the competition is stiff with some of my personal favorites, The Incredibles is perhaps the best superhero film to date, boasting witty humor and true emotion."
"National Treasure",tt0368891,2004,7,"National Treasure is a fun, albeit silly, movie for young audiences. "
"The Village",tt0368447,2004,8,***
"13 Going on 30",tt0337563,2004,6,***
"The Bourne Supremacy",tt0372183,2004,7,***
"I, Robot",tt0343818,2004,7,***
"It Happened One Night",tt0025316,1934,7,"Funny and cute. Clark Gable is fantastic in this."
"Gone With the Wind",tt0031381,1939,7,"I need to give this classic a second viewing. When I saw it years ago, I was not particularly impressed but mildly entertained."
"A Fistful of Dollars",tt0058461,1964,8,***
"For a Few Dollars More",tt0059578,1965,8,***
"Hang 'Em High",tt0061747,1968,8,"A strong follow-up to an impossible movie to follow up, 66's The Good, the Bad and the Ugly"
"Citizen Kane",tt0033467,1941,9,***
Casablanca,tt0034583,1942,8,"This movie gets better with every viewing"
"Beauty and the Beast",tt0038348,1946,7,"I do believe that movies have bettered with time, but this movie shows genuine emotion and dazzling effects."
"Bicycle Thieves",tt0040522,1948,9,"The Bicycle Thief is possibly the best looks into the evil of poverty."
Diabolique,tt0046911,1954,8,"Terrific ending."
"Rear Window",tt0047396,1954,9,***
"Seven Samurai",tt0047478,1954,8,***
"The Bridge on the River Kwai",tt0050212,1957,9,"Alec Guinness is the best part of this movie."
"Rio Bravo",tt0053221,1959,9,"Westerns have a reputation for poor, simple plots and flat characters, but this movie defies all that. Rio Bravo has an engaging story with sympathetic characters and suspenseful scenes."
"North by Northwest",tt0053125,1959,7,"While certainly good, I have mixed feelings concerning the ending"
Psycho,tt0054215,1960,9,***
"To Kill A Mockingbird",tt0056592,1962,8,"Definitely has some oversimplification, but still a great movie."
"Lawrence of Arabia",tt0056172,1962,10,"A wonder of cinematic beauty and grandeur, this move—in parts—may seem to be little more than a power-corrupts film, but Peter O'Toole's unique and sensual performance makes it so much more."
"Cape Fear",tt0055824,1962,8,"Thrilling and suspenseful"
Goldfinger,tt0058150,1964,7,***
"Doctor Zhivago",tt0059113,1965,7,***
"The Good, the Bad and the Ugly",tt0060196,1966,9,"Though all of the Spaghetti Westerns are terrific, this one is possibly the best"
"Wait Until Dark",tt0062467,1967,7,"Or wait until that classic jump-scare; that's what the whole movie is leading up to"
Camelot,tt1672189,1967,7,***
"The Dirty Dozen",tt0061578,1967,9,"This is a perfectly emotional anti-hero film."
Rocky,tt0075148,1976,7,"One of, if not THE, best underdog story. The characters are real and the performances are heartfelt."
"Days of Heaven",tt0077405,1978,8,***
Hitch,tt0386588,2005,7,***
"Star Wars: Episode III - Revenge of the Sith",tt0121766,2005,8,"This is the highpoint of the prequels, delivering with emotion and motivation that the previous two lacked."
"Mr. & Mrs. Smith",tt0356910,2005,6,***
"King Kong",tt0360717,2005,8,***
"War of the Worlds",tt0407304,2005,7,"Created during Spielberg's plunge into darker filmmaking, War of the Worlds is good but most interesting as a case-study"
"Charlie and the Chocolate Factory",tt0367594,2005,4,"It will never compare to the Original. Never."
"Red Eye",tt0421239,2005,7,"I could do without the very end, but this movie is a top-notch thriller."
"Batman Begins",tt0372784,2005,8,"A revolutionary film as far as superheroes are concerned; the original gritty superhero movie. Nolan forever changed the industry by deciding to take the genre seriously."
"Fun with Dick and Jane",tt0369441,2005,6,***
"The Legend of Zorro",tt0386140,2005,4,***
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",tt0363771,2005,7,***
"Fantastic Four",tt0120667,2005,6,***
"Pride & Prejudice",tt0414387,2005,8,***
"Zathura: A Space Adventure",tt0406375,2005,6,***
"The Shining",tt0081505,1980,8,"More disturbing than scary, The Shining is bolstered by atmospherism and powerful lead performances"
Gandhi,tt0083987,1982,9,"This is a moving, powerful epic about one of the most important figures in history—well worth every second of its 3h 11m runtime"
Scarface,tt0086250,1983,9,"More edgy than the Godfathers, it can easily stand on the same plane as a Gangster epic."
WarGames,tt0086567,1983,6,***
"Rocky IV",tt0089927,1985,7,"Everyone knows this is the best Rocky film. ""I will break you."" Classic."
"The Breakfast Club",tt0088847,1985,8,***
"Vision Quest",tt0090270,1985,2,"Vision Quest doesn't do a lot right, and it makes plenty of strange choices as a movie"
Labyrinth,tt0091369,1986,8,"A strange look into 80s filmmaking"
"The Name of the Rose",tt0091605,1986,6,***
Hoosiers,tt0091217,1986,7,***
Batman,tt0096895,1989,6,"This movie demonstrates how fascinating the Joker character can be"
"Dead Poets Society",tt0097165,1989,8,"An excellent and inspiring film, albeit cliche and heavy-handed at times"
Glory,tt0097441,1989,6,***
"National Lampoon's Christmas Vacation",tt0097958,1989,6,***
"Edward Scissorhands",tt0099487,1990,6,***
"Cape Fear",tt0101540,1991,8,"An excellent remake, just as thrilling and suspenseful as the previous"
"A Few Good Men",tt0104257,1992,7,"An engaging court film, though stereotypical at times."
"Batman Returns",tt0103776,1992,8,***
"My Cousin Vinny",tt0104952,1992,7,***
"Schindler's List",tt0108052,1993,10,"Possibly the greatest work by the greatest director makes Schindler's List possibly the greatest film of all time. Both heart wrenching and optimistic, this movie handles its delicate subject with complete care and aptitude. "
"The Firm",tt0106918,1993,6,***
"Sleepless in Seattle",tt0108160,1993,7,"More funny than romantic."
"Mrs. Doubtfire",tt0107614,1993,8,***
"The Shawshank Redemption",tt0111161,1994,9,"A simply beautiful and moving story"
Se7en,tt0114369,1995,9,"An intense movie with powerful performances, Se7en is another success for David Fincher. It is not necessarily thought-provoking, but is without a doubt a film that has more to offer than thrills."
GoldenEye,tt0113189,1995,8,"This is another example of my biased opinion, having grown up watching and loving this movie. But regardless, I see the campy yet thrilling Bond Series that I love at its finest."
Casino,tt0112641,1995,8,"Sam sets this movie apart from other gangster and Scorsese films by being a legitimately likable character."
"Batman Forever",tt0112462,1995,6,***
"Billy Madison",tt0112508,1995,6,"One of Sandler's early hits, this movie takes an easy-but-still-interesting premise and squeezes quality jokes from it"
"Romeo + Juliet",tt0117509,1996,8,"The beginning is wonderfully intense, and the source material certainly helps with the film's success."
"Happy Gilmore",tt0116483,1996,6,"Another of Sandler's early hits, this movie isn't special but it does deliver on occasional humor"
Titanic,tt0120338,1997,7,***
"Good Will Hunting",tt0119217,1997,9,"While I admire the filmmaking (and the music is particularly delightful given the year), this movie stands on the power of its humanity."
"Lock, Stock and Two Smoking Barrels",tt0120735,1998,7,***
"The Truman Show",tt0120382,1998,9,***
"American History X",tt0120586,1998,8,***
"Saving Private Ryan",tt0120815,1998,9,"In this, Spielberg demonstrates his aptidue for filmmaking, crafting narratives, and exploring deep themes."
"Fight Club",tt0137523,1999,8,***
"The Green Mile",tt0120689,1999,8,***
"The World Is Not Enough",tt0143145,1999,6,"This movie exists somewhere along the Brosnan-spectrum of Goldeneye (and its realism) and Die Another Day (and its campiness). In the middle is not a good place to be."
"Office Space",tt0151804,1999,9,"Exceptionally witty"
"Casino Royale",tt0381061,2006,8,***
"X-Men: The Last Stand",tt0376994,2006,6,***
"Superman Returns",tt0348150,2006,7,***
"Pirates of the Caribbean: Dead Man's Chest",tt0383574,2006,6,***
"Stranger Than Fiction",tt0420223,2006,7,"I remember hating it when I saw it (I felt mislead concerning the genre), but as I reflect on it, I appreciate its wit more and more."
"The Fast and the Furious: Tokyo Drift",tt0463985,2006,5,***
Cars,tt0317219,2006,7,***
"The Pursuit of Happyness",tt0454921,2006,7,***
"Deja Vu",tt0453467,2006,7,***
Click,tt0389860,2006,5,"Click has some inventive humor and an attempt at heart, but it ultimately suffers the same tonal issues as most Sandler flicks"
Dreamgirls,tt0443489,2006,7,***
"Nacho Libre",tt0457510,2006,8,***
"Martian Child",tt0415965,2007,1,"The reasons for my hatred of this movie are long, complex, and personal. But in short, it is a forced movie with little heart."
"Ocean's Thirteen",tt0496806,2007,8,***
"I Am Legend",tt0480249,2007,8,***
Disturbia,tt0486822,2007,7,***
"Spider-Man 3",tt0413300,2007,6,***
"Pirates of the Caribbean: At World's End",tt0449088,2007,6,***
Transformers,tt0418279,2007,7,***
