Title,ID,Year,Image,Review
Moana,tt3521164,2016,https://ia.media-imdb.com/images/M/MV5BMjI4MzU5NTExNF5BMl5BanBnXkFtZTgwNzY1MTEwMDI@._V1_SX300.jpg,"Beautifully animated with great music, <i>Moana</i> transcends its cliched story with humor and heart."
Zootopia,tt2948356,2016,https://ia.media-imdb.com/images/M/MV5BOTMyMjEyNzIzMV5BMl5BanBnXkFtZTgwNzIyNjU0NzE@._V1_SX300.jpg,"Again, Disney delivers an aesthetically brilliant film with more thematic depth than normal."
Pocahontas,tt0114148,1995,https://ia.media-imdb.com/images/M/MV5BMzc4YzhiN2ItY2Y4NC00YTA0LWEyMjEtNzllNTcxZDdjODhiXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX300.jpg,"It’s clear that the creative strength behind this movie was blown on its powerful soundtrack and artistic flair and not much else."
Tangled,tt0398286,2010,https://ia.media-imdb.com/images/M/MV5BMTAxNDYxMjg0MjNeQTJeQWpwZ15BbWU3MDcyNTk2OTM@._V1_SX300.jpg,"<i>Tangled</i> has a lot of tangible goodness, including one notably creative scene, yet some of the gags and characters feel a little stock."
"Meet the Robinsons",tt0396555,2007,https://ia.media-imdb.com/images/M/MV5BMTg0NTU4MDY5OV5BMl5BanBnXkFtZTcwMzY0MjM0MQ@@._V1_SX300.jpg,"This movie moves too quickly but manages funny, engaging characters nonetheless."
Fantasia,tt0032455,1940,https://ia.media-imdb.com/images/M/MV5BOGE4ZDQ2YWUtYTIzNi00NTI0LTkxMjQtODBjZjE4NjkxNGI4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"Though handicapped by its storylessness, <i>Fantasia</i> is undeniably enchanting."
"Lady and the Tramp",tt0048280,1955,https://ia.media-imdb.com/images/M/MV5BODk4YWI2MzItYzc2Yi00M2U0LWFhY2MtOTgyODM2NWE0MDcyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"Though not much else, this movie offers strong character development."
"Atlantis: The Lost Empire",tt0230011,2001,https://ia.media-imdb.com/images/M/MV5BNjM2NzNjMDAtZTAyMi00NTQzLWFlMTctNTUzMGE1ODE2NDRlXkEyXkFqcGdeQXVyNjY5NDU4NzI@._V1_SX300.jpg,"Not only a grand and epic fantasy, <i>Atlantis</i> boasts likable and dynamic characters."
"Lilo & Stitch",tt0275847,2002,https://images-na.ssl-images-amazon.com/images/M/MV5BMTkwOTU5MTA2M15BMl5BanBnXkFtZTYwMjYyNTc3._V1_SX300.jpg,"<i>Lilo & Stitch</i> crafts a nuanced family dynamic alongside above-average animation."
Tarzan,tt0120855,1999,https://ia.media-imdb.com/images/M/MV5BY2ZiYWUxN2ItYmQxZi00NDlkLWE2NDAtOTNmYTg1MDI0NDk1XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg,"This movie has a lot going for it—artistic strength, good music, easy pacing—but it never transcends, never becoming a great movie."
"Robin Hood",tt0070608,1973,https://ia.media-imdb.com/images/M/MV5BYjUwMzhkM2ItMTU2OC00OTQ5LWJlMDUtMzRmYjc0NDUyNGVhL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"Sweet, folksy, and simple, this movie—like <i>The Adventures of Winnie the Pooh</i>—captures nostalgia and whimsy. However, it does suffer from a hurried story and sub-par animation."
"The Hunchback of Notre Dame",tt0116583,1996,https://ia.media-imdb.com/images/M/MV5BNzMxMDc4OGItODBiZi00NjYyLThiMzctMzQwZjgzYWE0MzQzXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX300.jpg,"I have mixed feelings on this movie. It is often very dark and, for that reason, very powerful. It also has many dazzling visuals, but the animation could have been so much more; it often seems hollow or lacking up-close. I guess there is nothing wrong with making the dark source material into a happy ending like all the other Disney films since they are children entertainment, but my big problem is the movie’s theme of physical appearance not mattering (much like the theme from <i>Beauty and the Beast</i>). This is arguably the main theme of the movie in the midst of other dark subjects, and this main theme is ruined. Quasimodo is made less repulsive with a young voice and repeated songs trivializing his deformity. To boot, at the end, he isn’t even hesitant about losing the girl to the knight in shining armor. Some other slight complaints are that it, like other Disney movies, tries to lighten the mood in inappropriate places, and that it (and I care even less about this) steals from previous Disney movies—e.g. plot, characters, scenes, etc."
Aladdin,tt0103639,1992,https://ia.media-imdb.com/images/M/MV5BY2Q2NDI1MjUtM2Q5ZS00MTFlLWJiYWEtNTZmNjQ3OGJkZDgxXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_SX300.jpg,"This movie dropped a lot for me with a more recent viewing. While the Genie character is strong and the climax excellent, it has little in the way of propulsion."
"Big Hero 6",tt2245084,2014,https://ia.media-imdb.com/images/M/MV5BMDliOTIzNmUtOTllOC00NDU3LWFiNjYtMGM0NDc1YTMxNjYxXkEyXkFqcGdeQXVyNTM3NzExMDQ@._V1_SX300.jpg,"Though it is beautifully animated with an exciting second half, its pacing is too quick and it feels like it's just hitting the beats."
"The Fox and the Hound",tt0082406,1981,https://ia.media-imdb.com/images/M/MV5BMDQzZWRlYjctMjE0ZS00NWU5LWE3NzktYzZiNzJiM2UxMDczXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg,"It offers a meaningful story through a great ending, but as a Disney musical, it falls flat."
Pinocchio,tt0032910,1940,https://ia.media-imdb.com/images/M/MV5BMTU4Mzk3ODIyOF5BMl5BanBnXkFtZTgwODgyNzk2NjE@._V1_SX300.jpg,"This classic has fun songs, good animation (though not as good as its predecessor), and a certain depth, but its themes are too on the nose and its pacing uneven."
"The Rescuers Down Under",tt0100477,1990,https://ia.media-imdb.com/images/M/MV5BNjY1OWZkMjQtMDY0YS00ZGRiLTg1YjktMzlmZWQyZWMzZGI1L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"Distractingly implausible and inconsistent, this movie still demonstrates solid effects and a menacing villain."
"The Emperor's New Groove",tt0120917,2000,https://ia.media-imdb.com/images/M/MV5BNzk1ZDcwY2YtMzRhZi00OTYwLTkzMmYtMGMwN2Y3ZjM1MTM0XkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX300.jpg,"Truly fun with an excellent moral shift, <i>The Emperor’s New Groove</i> is a good movie lowered only by its poor animation and inability to compete with better films."
"Fantasia 2000",tt0120910,1999,https://ia.media-imdb.com/images/M/MV5BMTE3OGUxNmItZmM3MC00ZTI3LTg0YTUtMzA3MGJkZjkyNjEyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"Enchanting like its forerunner, this movie is solid despite its poor use of CGI."
"Oliver & Company",tt0095776,1988,https://ia.media-imdb.com/images/M/MV5BMTI5NTE2OTQtN2YyZi00OTI5LTljMmEtMDZlMTk0MzNmZmY5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"This Disney movie acts as our point of inflection for quality. It boasts the musical talent of Billy Joel with a few flashes of quality animation, yet it offers no closure and the graphics are overwhelmingly bad."
"101 Dalmatians",tt0055254,1961,https://ia.media-imdb.com/images/M/MV5BZGMyMjE4OGUtNGZmMC00YzdmLThkMWYtZWIzMmEzNjA4MzVkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"While the villain is cinematically interesting, the movie is anti-climatic."
Bolt,tt0397892,2008,https://ia.media-imdb.com/images/M/MV5BNDQyNDE5NjQ1N15BMl5BanBnXkFtZTcwMDExMTAwMg@@._V1_SX300.jpg,"It can be funny, but for the most part, the movie feels pretty generic."
"Alice in Wonderland",tt0043274,1951,https://ia.media-imdb.com/images/M/MV5BMTgyMjM2NTAxMF5BMl5BanBnXkFtZTgwNjU1NDc2MTE@._V1_SX300.jpg,"Psychologically interesting for its nonsensical elements—and at times even sweet—<i>Alice in Wonderland</i> is still strange and distant."
Hercules,tt0119282,1997,https://ia.media-imdb.com/images/M/MV5BZDcwYjEyNWItMGI1Mi00MjI1LWIyMDEtMTQ4YjhkNjM4NDU3XkEyXkFqcGdeQXVyNDUyOTg3Njg@._V1_SX300.jpg,"While the movie is entertaining and genuinely funny, the chosen style of animation is distractingly distasteful and the plotting is far too fast."
"The Princess and the Frog",tt0780521,2009,https://ia.media-imdb.com/images/M/MV5BMjEyOTQ5NzAzNl5BMl5BanBnXkFtZTcwMTcyNTU1Mg@@._V1_SX300.jpg,"The thematic exploration is one of Disney’s best, as is the style and villain of the film, but in the end, the movie is too contrived and not patient with its own development."
"The Jungle Book",tt0061852,1967,https://ia.media-imdb.com/images/M/MV5BMjAwMTExODExNl5BMl5BanBnXkFtZTgwMjM2MDgyMTE@._V1_SX300.jpg,"It can be really fun at times, but it too suffers from rushed storytelling and character you never grow to care for."
"Wreck-it Ralph",tt1772341,2012,https://ia.media-imdb.com/images/M/MV5BNzMxNTExOTkyMF5BMl5BanBnXkFtZTcwMzEyNDc0OA@@._V1_SX300.jpg,"The premise is funny and some of the jokes are witty, but <i>Wreck-It-Ralph</i> lacks anything extraordinary."
"Treasure Planet",tt0133240,2002,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ0NDg3MjU2OV5BMl5BanBnXkFtZTYwODgyMDg5._V1_SX300.jpg,"The animation is pretty and the villain surprisingly complex, but the CGI has badly dated the movie."
"Fun & Fancy Free",tt0039404,1947,https://images-na.ssl-images-amazon.com/images/M/MV5BY2VjYWFiZmYtZWVlYi00Y2RmLWFjNjktOGFhMDkyN2NlN2Q3XkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_SX300.jpg,"These miniature stories are good for what they are."
"Winnie the Pooh",tt1449283,2011,https://ia.media-imdb.com/images/M/MV5BYzBlYTJkMGQtYzQ4MS00Zjk3LTk4MmEtYTZiNTEzNmRlMjUxXkEyXkFqcGdeQXVyMzI0NDc4ODY@._V1_SX300.jpg,"It fails to capture the magic of its predecessor."
"Peter Pan",tt0046183,1953,https://images-na.ssl-images-amazon.com/images/M/MV5BMzIwMzUyYTUtMjQ3My00NDc3LWIyZjQtOGUzNDJmNTFlNWUxXkEyXkFqcGdeQXVyMjA0MDQ0Mjc@._V1_SX300.jpg,"The characters are eccentric and therefore fun, but the movie lacks heart (and likable protagonists)."
Cinderella,tt0042332,1950,https://images-na.ssl-images-amazon.com/images/M/MV5BMjI5NTcxMjE5N15BMl5BanBnXkFtZTgwNzYyNTM3MjE@._V1_SX300.jpg,"It’s sweet but too hurried for any real attachment."
Dinosaur,tt0130623,2000,https://ia.media-imdb.com/images/M/MV5BZWQ1NTZjMjUtODNmZS00NTVhLWFhM2ItNWZiOTdjMzdhZTY2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"It’s pretty but cliche."
"The Great Mouse Detective",tt0091149,1986,https://ia.media-imdb.com/images/M/MV5BMDUzMTliZDYtMmRjZS00Zjk3LWIwZjEtZjc4N2NjYjdmY2FjXkEyXkFqcGdeQXVyMjA0MDQ0Mjc@._V1_SX300.jpg,"The premise is fun, but the movie doesn’t do enough to build upon that premise."
"The Adventures of Ichabod and Mr. Toad",tt0041094,1949,https://ia.media-imdb.com/images/M/MV5BNjAzZDA2MWItZDdjMi00NTBlLTg5OTItYWQ1YTA1NGNiMGVhL2ltYWdlXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg,"These are great stories with no character development."
"Make Mine Music",tt0038718,1946,https://ia.media-imdb.com/images/M/MV5BYjlhNWE3MjMtNTE4My00YzkwLTgyZWYtODkzZDRjNzA1YzliXkEyXkFqcGdeQXVyNjI1Mjk4MTg@._V1_SX300.jpg,"This is little more than cute stories with fun music."
"The Aristocats",tt0065421,1970,https://ia.media-imdb.com/images/M/MV5BMTU1MzM0MjcxMF5BMl5BanBnXkFtZTgwODQ0MzcxMTE@._V1_SX300.jpg,"Don’t tell Lauren, but this movie isn’t great. It has some fun parts, but you never really care about its characters."
"Melody Time",tt0040580,1948,https://ia.media-imdb.com/images/M/MV5BNDhiMDQzYzYtNWVlMC00YzRkLTg4ZGItN2M2MGNjOTllNWVmXkEyXkFqcGdeQXVyNjI1Mjk4MTg@._V1_SX300.jpg,"It’s a little less cute and a little less fun than <i>Make Mine Music</i>."
"Chicken Little",tt0371606,2005,https://ia.media-imdb.com/images/M/MV5BMTcwMjMwNTA3MV5BMl5BanBnXkFtZTcwMjk4OTgyMQ@@._V1_SX300.jpg,"The movie has heart and some solid jokes, but it tries too hard and the animation is lacking."
"Home on the Range",tt0299172,2004,https://ia.media-imdb.com/images/M/MV5BYWIyNWEwZDctMzkzNC00NzkyLTk5YWUtOWQ5MzBhMGE1NTE4XkEyXkFqcGdeQXVyNjExODE1MDc@._V1_SX300.jpg,"It has some surprisingly good cinematography and music, but the story is cliche and the main character uninteresting."
"Brother Bear",tt0328880,2003,https://ia.media-imdb.com/images/M/MV5BMTIyNTAyNDYxNF5BMl5BanBnXkFtZTYwNjYwMjg2._V1_SX300.jpg,"The movie suffers from an abundance of cliches; moreover, it montage-d its most important scene."
"The Sword in the Stone",tt0057546,1963,https://ia.media-imdb.com/images/M/MV5BODc2MjAyZDYtNWYwZi00YTQwLWE0ZDMtMjM2NTJmYWMxMmQ0XkEyXkFqcGdeQXVyNTQxMTIxMTk@._V1_SX300.jpg,"Nothing ever happens."
Dumbo,tt0033563,1941,https://ia.media-imdb.com/images/M/MV5BMTU0NDcxMDA1MV5BMl5BanBnXkFtZTgwNzI0Njg0MTE@._V1_SX300.jpg,"While one of its scenes is exceptionally potent, the rest is strange and distancing."
"Saludos Amigos",tt0036326,1942,https://ia.media-imdb.com/images/M/MV5BZTgyMGI1YzUtNTI0ZC00MGM5LTk3MGYtOTkyYzMwMDBlYmM2XkEyXkFqcGdeQXVyNjI1Mjk4MTg@._V1_SX300.jpg,"There’s little to endear it to a viewer."
"The Three Caballeros",tt0038166,1944,https://ia.media-imdb.com/images/M/MV5BNTYzMmFmNjYtYzJmMy00ZGViLTlkNjItYjMwYzA3ZjRkZTBkXkEyXkFqcGdeQXVyNjI1Mjk4MTg@._V1_SX300.jpg,"There’s little to endear it to a viewer."
"The Rescuers",tt0076618,1977,https://ia.media-imdb.com/images/M/MV5BZjkxZjg5Y2QtMjczMy00OTg1LThlZjktZTUwZmZkNDNjMDNkXkEyXkFqcGdeQXVyMjA0MDQ0Mjc@._V1_SX300.jpg,"It’s too hurried and scattered."
