Title,ID,Year,Image,Review
"Spider-Man: Homecoming",tt2250912,2017,https://ia.media-imdb.com/images/M/MV5BNTk4ODQ1MzgzNl5BMl5BanBnXkFtZTgwMTMyMzM4MTI@._V1_SX300.jpg,"So <i>Spider-Man: Homecoming</i> is a great film; that’s how it got in the top ten. The three best things it had going for it were (1) the jokes—which Marvel always excels at, (2) Peter feeling like a real high schooler, and (3) everything about Michael Keaton’s character. However, as mentioned, <i>Spider-Man</i> has one major issue: Peter doesn’t really learn anything. Just as with <i>The Amazing Spider-Man</i> series, Peter Parker is great and coasts on being right all the time. He is never wrong, never punished for the mistakes he makes. He is a natural at everything he does and saves the day for everyone, never learning to truly rely on anyone else. And that really limits how much you can care about a character."
"Iron Man 3",tt1300854,2013,https://ia.media-imdb.com/images/M/MV5BMTkzMjEzMjY1M15BMl5BanBnXkFtZTcwNTMxOTYyOQ@@._V1_SX300.jpg,"Paralleled by only a few other movies on this list, <i>Iron Man 3</i> demonstrates what it means to understand your own characters. While it took some time to get over my fanboy rage regarding the Mandarin, I came around to appreciated Shane Black’s handling of Tony Stark and tangental structuring of the narrative."
"Doctor Strange",tt1211837,2016,https://ia.media-imdb.com/images/M/MV5BNjgwNzAzNjk1Nl5BMl5BanBnXkFtZTgwMzQ2NjI1OTE@._V1_SX300.jpg,"<i>Doctor Strange</i> is weird for me. It played with a lot of fun ideas and some really interesting visuals while maintaining the same style as the rest of the MCU. While I may have wanted it to go further, I liked what it did. I liked Strange’s initial psychedelic trip into the world of magic, and I liked the ending a lot. But <i>Doctor Strange</i> had the same problem a lot of Marvel movies have: no real growth. Blah, blah, I’m sure you disagree, but we’ll talk about it more with <i>Spider-Man</i>."
Ant-Man,tt0478970,2015,https://ia.media-imdb.com/images/M/MV5BMjM2NTQ5Mzc2M15BMl5BanBnXkFtZTgwNTcxMDI2NTE@._V1_SX300.jpg,"A nice chaser after <i>Age of Ultron</i>, Ant-Man provided a new genre for Marvel to explore (the heist film) and some glimmers of dismissed writer and director Edgar Wright still shine through."
"Ant-Man and the Wasp",tt5095030,2018,https://m.media-amazon.com/images/M/MV5BYjcyYTk0N2YtMzc4ZC00Y2E0LWFkNDgtNjE1MzZmMGE1YjY1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"It’s a strong movie as all Marvel films are, but it adds little new material and reaches its saturation point for plot holes and techno-babble."
Thor,tt0800369,2011,https://ia.media-imdb.com/images/M/MV5BOGE4NzU1YTAtNzA3Mi00ZTA2LTg2YmYtMDJmMThiMjlkYjg2XkEyXkFqcGdeQXVyNTgzMDMzMTg@._V1_SX300.jpg,"<i>Thor</i>, like most of the movies in the Marvel’s first phase, comes loaded with humor and heart but lacks some of the special features of its peers."
"Avengers: Age of Ultron",tt2395427,2015,https://ia.media-imdb.com/images/M/MV5BMTM4OGJmNWMtOTM4Ni00NTE3LTg3MDItZmQxYjc4N2JhNmUxXkEyXkFqcGdeQXVyNTgzMDMzMTg@._V1_SX300.jpg,"The second Avengers movie marks a demarcation between movies that are entertaining and good and movies that are excellent. Though Whedon’s directorial vision was surely compromised by the studio, his flair and care for the characters is clear. It’s only real vice is not living up to the hype."
"The Incredible Hulk",tt0800080,2008,https://ia.media-imdb.com/images/M/MV5BMTUyNzk3MjA1OF5BMl5BanBnXkFtZTcwMTE1Njg2MQ@@._V1_SX300.jpg,"It’s better than you remember."
"Iron Man 2",tt1228705,2010,https://ia.media-imdb.com/images/M/MV5BMTM0MDgwNjMyMl5BMl5BanBnXkFtZTcwNTg3NzAzMw@@._V1_SX300.jpg,"This sequel captures little of its predecessor’s magic but does include a couple notable performances."
"Thor: The Dark World",tt1981115,2013,https://ia.media-imdb.com/images/M/MV5BMTQyNzAwOTUxOF5BMl5BanBnXkFtZTcwMTE0OTc5OQ@@._V1_SX300.jpg,"None of these movies are bad. This one’s just generic and bordering on boring."
